,n_train,smooth,depth,width,lr,best_epoch,R2,MSE
72,16.0,0.001,3.0,3.0,0.0001,24256.0,-1.0635740756988525,6.979544162750244
73,16.0,0.001,3.0,3.0,0.001,17577.0,-1.0635454654693604,6.979447841644287
74,16.0,0.001,3.0,3.0,0.01,0.0,-1524.05517578125,5158.13330078125
75,16.0,0.001,3.0,4.0,0.0001,99208.0,-1.063579797744751,6.9795637130737305
76,16.0,0.001,3.0,4.0,0.001,115.0,-66.79804229736328,229.31060791015625
77,16.0,0.001,3.0,4.0,0.01,0.0,-1524.05517578125,5158.13330078125
78,16.0,0.001,3.0,16.0,0.0001,0.0,-1523.9990234375,5157.943359375
79,16.0,0.001,3.0,16.0,0.001,24.0,-95.47321319580078,326.2975158691406
80,16.0,0.001,3.0,16.0,0.01,1.0,-110.7825927734375,378.07781982421875
81,16.0,0.001,3.0,32.0,0.0001,54.0,-120.11454772949219,409.6408996582031
82,16.0,0.001,3.0,32.0,0.001,4.0,-131.32379150390625,447.5534973144531
83,16.0,0.001,3.0,32.0,0.01,8.0,-141.03916931152344,480.41339111328125
84,16.0,0.001,4.0,3.0,0.0001,0.0,-1524.05517578125,5158.13330078125
85,16.0,0.001,4.0,3.0,0.001,0.0,-1524.05517578125,5158.13330078125
86,16.0,0.001,4.0,3.0,0.01,11526.0,-0.5822386741638184,5.351542949676514
87,16.0,0.001,4.0,4.0,0.0001,0.0,-1524.05517578125,5158.13330078125
88,16.0,0.001,4.0,4.0,0.001,0.0,-1524.05517578125,5158.13330078125
89,16.0,0.001,4.0,4.0,0.01,56.0,-71.81510925292969,246.27963256835938
90,16.0,0.001,4.0,16.0,0.0001,341.0,-109.81123352050781,374.79241943359375
91,16.0,0.001,4.0,16.0,0.001,0.0,-1524.05517578125,5158.13330078125
92,16.0,0.001,4.0,16.0,0.01,4.0,-126.87846374511719,432.5182189941406
93,16.0,0.001,4.0,32.0,0.0001,168.0,-106.5710220336914,363.8331604003906
94,16.0,0.001,4.0,32.0,0.001,0.0,-1524.05517578125,5158.13330078125
95,16.0,0.001,4.0,32.0,0.01,1.0,-121.2413330078125,413.4519958496094
