ahu_supply_temp,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status
64.20000458,69.5,69.80000305,43,66.80000305,70,85,55,75,69,0,0,800,673,1060,800,100,100,0.018000001,0,0,0,active
64.20000458,69.5,69.80000305,43,66.70000458,70,85,55,75,69,0,0,800,676,1060,800,100,100,0.018000001,0,0,0,active
64.40000153,69.5,69.70000458,43,66.70000458,70,85,55,75,69,0,0,800,679,1060,800,100,100,0.018000001,0,0,0,active
64.40000153,69.5,69.70000458,43,66.70000458,70,85,55,75,69,0,0,800,670,1060,800,100,100,0.018000001,0,0,0,active
64.70000458,69.5,69.80000305,43,66.80000305,70,85,55,75,69,0,0,800,676,1060,800,100,100,0.018000001,0,0,0,active
65.09999847,70,70,43,66.80000305,70,85,55,75,69,0,0,800,679,1060,800,100,100,0.018000001,0,0,0,active
65.20000458,69.5,69.90000153,43,66.90000153,70,85,55,75,69,0,0,800,670,1060,800,100,100,0.018000001,0,0,0,active
65.20000458,69.5,69.80000305,43,67.09999847,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.30000305,69.5,69.80000305,43,67.30000305,70,85,55,75,69,0,0,800,670,1060,800,100,100,0.018000001,0,0,0,active
65.30000305,69.5,69.80000305,44,67.30000305,70,85,55,75,69,0,0,800,673,1060,800,100,100,0.018000001,0,0,0,active
65.30000305,69.5,69.80000305,44,67.40000153,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.09999847,69.5,69.80000305,44,67.40000153,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.09999847,69.5,69.70000458,44,67.40000153,70,85,55,75,69,0,0,800,670,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.80000305,44,67.40000153,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69.5,69.70000458,44,67.40000153,70,85,55,75,69,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
64.5,69.5,69.80000305,44,67.40000153,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
64.59999847,69.5,69.80000305,44,67.30000305,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
64.59999847,69.5,69.59999847,44,67.30000305,70,85,55,75,69,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
64.30000305,69.5,69.59999847,44,67.20000458,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
64.59999847,69.5,69.59999847,44,67.30000305,70,85,55,75,69,0,0,800,670,1060,800,100,100,0.018000001,0,0,0,active
64.5,69.5,69.70000458,44,67.20000458,70,85,55,75,69,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
64.70000458,69.5,69.80000305,44,67.20000458,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65,69.5,69.80000305,44,67.30000305,70,85,55,75,69,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
65,69.5,69.70000458,44,67.30000305,70,85,55,75,69,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
65.09999847,69.5,69.70000458,44,67.30000305,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.30000305,69.5,69.70000458,44,67.40000153,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.30000305,69.5,69.70000458,44,67.40000153,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.20000458,69.5,69.59999847,44,67.59999847,70,85,55,75,69,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.09999847,69.5,69.5,44,67.59999847,69,85,55,74,68,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
65.09999847,69.5,69.5,44,67.59999847,69,85,55,74,68,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
65.20000458,69.5,69.59999847,44,67.59999847,69,85,55,74,68,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
65,69.5,69.59999847,44,67.70000458,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
65.09999847,69.5,69.5,44,67.70000458,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
65,69.5,69.5,44,67.70000458,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.5,44,67.80000305,69,85,55,74,68,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.5,44,67.80000305,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.59999847,44,67.70000458,69,85,55,74,68,0,0,800,670,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.5,44,67.70000458,69,85,55,74,68,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.59999847,44,67.70000458,69,85,55,74,68,0,0,800,658,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.59999847,44,67.70000458,69,85,55,74,68,0,0,800,652,1060,800,100,100,0.018000001,0,0,0,active
65,69.5,69.59999847,44,67.70000458,69,85,55,74,68,0,0,800,652,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.59999847,44,67.70000458,69,85,55,74,68,0,0,800,655,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69,69.40000153,44,67.70000458,69,85,55,74,68,0,0,800,655,1060,800,100,100,0.018000001,0,0,0,active
65,69.5,69.5,44,67.70000458,69,85,55,74,68,0,0,800,655,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.5,44,67.70000458,69,85,55,74,68,0,0,800,658,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69.5,69.40000153,44,67.80000305,69,85,55,74,68,0,0,800,658,1060,800,100,100,0.018000001,0,0,0,active
65,69,69.40000153,44,67.90000153,69,85,55,74,68,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
65,69,69.30000305,44,67.90000153,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69,69.30000305,44,68,69,85,55,74,68,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69,69.30000305,44,68,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69,69.40000153,44,68,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
64.70000458,69.5,69.5,44,68,69,85,55,74,68,0,0,800,667,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69,69.40000153,44,68,69,85,55,74,68,0,0,800,658,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69.5,69.5,44,68,69,85,55,74,68,0,0,800,658,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69.5,69.5,44,68,69,85,55,74,68,0,0,800,664,1060,800,100,100,0.018000001,0,0,0,active
64.90000153,69.5,69.5,44,68,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69.5,69.5,44,68,69,85,55,74,68,0,0,800,661,1060,800,100,100,0.018000001,0,0,0,active
64.80000305,69,69.40000153,44,68,69,85,55,74,68,0,0,800,658,1060,800,100,100,0.018000001,0,0,0,active
65,69,69.40000153,44,68.09999847,71.5,85,55,76.5,70.5,0,0,800,658,1060,800,100,100,0.018000001,18.07499695,0,1,active
64.90000153,69,69.30000305,44,67.90000153,71.5,85,55,76.5,70.5,0,0,800,661,1060,800,100,100,0.018000001,19.54985809,0,1,active
65,69,69.40000153,44,67.90000153,71.5,85,55,76.5,70.5,0,0,800,275,1060,800,100,100,0.04259466,21.03305817,0,1,active
65,69.5,69.40000153,44,67.70000458,71.5,85,55,76.5,70.5,0,0,800,116,1060,800,100,100,0.053223331,22.46627045,0,1,active
65.09999847,69,69.40000153,45,67.59999847,71.5,85,55,76.5,70.5,0,0,800,89,1060,800,100,100,0.0550282,23.90781403,0,1,active
65.09999847,69.5,69.5,45,67.5,71.5,85,55,76.5,70.5,0,0,800,89,1060,800,100,100,0.0550282,19.1244278,0,1,active
65.09999847,69.5,69.5,45,67.5,71.5,85,55,76.5,70.5,0,0,800,89,1060,800,100,100,0.0550282,20.1410675,0,1,active
65,69.5,69.5,45,67.30000305,71.5,85,55,76.5,70.5,0,0,800,86,1060,800,100,100,0.055228736,27.291008,0,1,active
65.09999847,69.5,69.59999847,45,67.40000153,71.5,85,55,76.5,70.5,0,0,800,95,1060,800,100,100,0.054627113,22.5825882,0,1,active
65.20000458,69,69.40000153,45,67.30000305,71.5,85,55,76.5,70.5,0,0,800,92,1060,800,100,100,0.054827657,29.75753021,0,1,active
65.09999847,69,69.40000153,45,67.30000305,71.5,85,55,76.5,70.5,0,1.463023543,800,95,1060,800,100,100,0.054627113,31.02411652,0,1,active
65.09999847,69,69.30000305,45,67.09999847,71.5,85,55,76.5,70.5,0,3.605684519,800,89,1060,800,100,100,0.0550282,32.52397919,0,1,active
64.80000305,69,69.30000305,45,67.09999847,71.5,85,55,76.5,70.5,5.263157845,5.748345852,800,95,1060,800,100,100,0.054627113,34.02384186,0,1,active
64.90000153,69,69.30000305,45,67.09999847,71.5,85,55,76.5,70.5,5.263157845,7.891006947,800,98,1060,800,100,100,0.054426569,35.52370453,0,1,active
64.80000305,69,69.20000458,45,67.09999847,71.5,85,55,76.5,70.5,5.263157845,10.10520935,800,83,1060,800,100,100,0.055429272,37.09864807,0,1,active
64.59999847,69,69.20000458,45,67,71.5,85,55,76.5,70.5,10.52631569,12.17660046,800,92,1060,800,100,100,0.054827657,38.52362061,0,1,active
64.59999847,69,69.20000458,45,67,71.5,85,55,76.5,70.5,10.52631569,14.31942558,800,86,1060,800,100,100,0.055228736,40.02359772,0,1,active
