time,thermostat_room_temp,room_temp,thermostat_outside_temp,supply_discharge_temp,ahu_supply_temp,setpoint,setpoint_max,setpoint_min,clg_sp_current,htg_sp_current,clg_sp_offset,htg_sp_offset,occupied_clg_sp,occupied_htg_sp,unoccupied_clg_sp,unoccupied_htg_sp,htg_valve_position,htg_valve_command,airflow_desired,airflow_current,airflow_max,airflow_min,damper_position,damper_command,damper_integral_factor,htg_signal,clg_signal,htg_clg_mode,occupied_status,airflow_current_smooth,room_temp_smooth,supply_discharge_temp_smooth,thermostat_outside_temp_smooth,sensible_heat_in,sensible_heat_room,sensible_heat_in_smooth,sensible_heat_room_smooth
2021-04-24T07:45:00.0,70.5,70.5,47.0,59.0,56.3,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,4.10526323318481,1.13005828857422,406.780334472656,451.0,1000.0,400.0,83.684211730957,83.1740798950195,0.0180000010877848,1.13005828857422,0.0,true,true,440.9999999999997,70.4742857142857,59.03428571428567,46.79999999999998,26609.0,31795.5,26034.119999999966,31079.159999999974
2021-04-24T07:46:00.0,70.0,70.3,47.0,59.0,56.1,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,2.94736838340759,4.87175750732422,429.230529785156,429.0,1000.0,400.0,83.0526351928711,82.9413604736328,0.0180000010877848,4.83842468261719,0.0,true,true,437.7999999999997,70.36285714285712,58.88285714285711,46.999999999999986,25311.0,30158.699999999997,25778.914857142827,30804.85885714283
2021-04-24T07:47:00.0,70.0,70.3,47.0,58.6,56.1,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.631578922271729,2.85512542724609,417.130737304688,429.0,1000.0,400.0,83.0526351928711,82.9413604736328,0.0180000010877848,2.82179260253906,0.0,true,true,434.5999999999999,70.26571428571424,58.74571428571426,47.19999999999999,25139.4,30158.699999999997,25530.887428571412,30537.4794285714
2021-04-24T07:48:00.0,70.0,70.2,47.0,58.7,55.9,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.631578922271729,0.855155944824219,405.130920410156,429.0,1000.0,400.0,83.0526351928711,82.9413604736328,0.0180000010877848,0.821823120117188,0.0,true,true,430.7999999999999,70.19999999999996,58.614285714285685,47.39999999999999,25182.300000000003,30115.800000000003,25251.034285714268,30242.159999999974
2021-04-24T07:49:00.0,70.0,70.1,48.0,58.5,55.4,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,435.0,1000.0,400.0,83.0526351928711,82.9413604736328,0.0180000010877848,0.0,0.0,false,true,431.39999999999986,70.12571428571424,58.5085714285714,47.599999999999994,25447.5,30493.499999999996,25240.597714285694,30252.233142857112
2021-04-24T07:50:00.0,70.0,70.1,48.0,58.2,54.9,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,432.0,1000.0,400.0,83.0526351928711,82.9413604736328,0.0180000010877848,0.0,0.0,false,true,433.79999999999995,70.06571428571424,58.199999999999974,47.79999999999999,25142.4,30283.199999999997,25247.159999999985,30394.50685714283
2021-04-24T07:51:00.0,70.0,70.0,48.0,57.9,54.6,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,432.0,1000.0,400.0,83.0526351928711,82.9413604736328,0.0180000010877848,0.0,0.0,false,true,432.5999999999999,70.02571428571424,57.91714285714283,47.99999999999999,25012.8,30240.0,25054.955999999984,30293.123999999974
2021-04-24T07:52:00.0,70.0,70.0,48.0,57.7,54.4,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,441.0,1000.0,400.0,83.0526351928711,82.800422668457,0.0180000010877848,0.0,0.0,false,true,428.19999999999993,69.99999999999996,57.691428571428546,47.99999999999999,25445.7,30870.0,24703.4697142857,29973.999999999978
2021-04-24T07:53:00.0,70.0,70.0,48.0,57.5,54.4,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,423.0,1000.0,400.0,82.4210510253906,82.5185546875,0.0180000010877848,0.0,0.0,false,true,424.3999999999999,69.97428571428567,57.482857142857114,47.99999999999999,24322.5,29610.0,24395.724571428553,29697.086857142833
2021-04-24T07:54:00.0,69.5,69.9,48.0,57.3,54.4,69.0,85.0,65.0,71.0,68.0,3.0,0.0,71.0,68.0,85.0,55.0,0.0,0.0,400.0,413.0,1000.0,400.0,82.4210510253906,82.5185546875,0.0180000010877848,0.0,0.0,false,true,421.19999999999993,69.93428571428568,57.342857142857106,47.99999999999999,23664.899999999998,28868.7,24152.81142857141,29456.321142857123
